# asset|sha256|publisher|version|platform|source|license
Influent.emoji-fluent-compatible.v0.1-26.08-22.31-Danenone.iflapp|5a2d9be349aa3730b0d6dd0ff66ca039f90921ad69b7ac6054c4137f1707adba|Influent|v0.1-26.08-22.31|Danenone|https://github.com/tetunori/fluent-emoji-webfont|MIT plus upstream Microsoft Fluent Emoji MIT assets
Influent.emoji-fluent-flat.v0.1-26.08-22.31-Danenone.iflapp|fc9bf1a44cea807081de5acb60c2751686ed53ca332cb31c80be1627ffe208e5|Influent|v0.1-26.08-22.31|Danenone|https://github.com/tetunori/fluent-emoji-webfont|MIT plus upstream Microsoft Fluent Emoji MIT assets
Influent.emoji-fluent-high-contrast.v0.1-26.08-22.31-Danenone.iflapp|247f2e023d579224bb294ba3d8cbb3f103405748b839fd0bca75c3c1b4411dd9|Influent|v0.1-26.08-22.31|Danenone|https://github.com/tetunori/fluent-emoji-webfont|MIT plus upstream Microsoft Fluent Emoji MIT assets
Influent.emoji-fluent-inverted.v0.1-26.08-22.31-Danenone.iflapp|63fe07bf85460583639f679d5f4b35d15df6f3c1a725b25bbd4125c33a794eed|Influent|v0.1-26.08-22.31|Danenone|https://github.com/tetunori/fluent-emoji-webfont|MIT plus upstream Microsoft Fluent Emoji MIT assets
Influent.emoji-noto-color.v0.1-26.08-22.31-Danenone.iflapp|3518a08a21f0ac6926d499e92ba234eb53e93749444600f03baa5a673e2521c8|Influent|v0.1-26.08-22.31|Danenone|https://github.com/googlefonts/noto-emoji|SIL OFL 1.1 for fonts; Apache 2.0 for tools/resources
Influent.emoji-noto-monochrome.v0.1-26.08-22.31-Danenone.iflapp|00e884a7f0a728d03344a543d403831e83ca1480948079395ee6e36644a22a71|Influent|v0.1-26.08-22.31|Danenone|https://github.com/googlefonts/noto-emoji|SIL OFL 1.1
Influent.emoji-symbolic.v0.1-26.08-22.31-Danenone.iflapp|349c628268d59f34e6b71979e77e22b878976b765e55f1f98f3476e633c2c425|Influent|v0.1-26.08-22.31|Danenone|https://github.com/googlefonts/noto-emoji|SIL OFL 1.1
Influent.emoji-system-default.v0.1-26.08-22.31-Danenone.iflapp|08ea9b43bedf8851f2ce239a0a52723e731c9b4466e30c20866cffb7c64ec670|Influent|v0.1-26.08-22.31|Danenone|https://github.com/googlefonts/noto-emoji|Uses installed system font; no bundled asset
Influent.emoji-twemoji-compatible.v0.1-26.08-22.31-Danenone.iflapp|097d03100cc0fb965a38f171fdd3083b7b383e4ab19a465a192c66eb13381d71|Influent|v0.1-26.08-22.31|Danenone|https://github.com/twitter/twemoji|CC-BY 4.0 for graphics; verify asset notices
Influent.emoji-unicode-text.v0.1-26.08-22.31-Danenone.iflapp|4f1311c71472a706e2524726e4c9b13bec4fcf86dd5d290dba90a7efe75d20ac|Influent|v0.1-26.08-22.31|Danenone|https://www.unicode.org/emoji/|Unicode data terms; system-font fallback
